City,Country,Lat,Lng,Max Temp,Cloudiness,Humidity,Windspeed,Date
ushuaia,ar,-54.8,-68.3,35.6,40.0,100.0,9.17,1600225443.0
pangody,ru,65.85,74.49,51.12,6.0,76.0,13.18,1600225453.0
atouguia da baleia,pt,39.34,-9.33,66.0,63.0,92.0,5.01,1600225453.0
mahebourg,mu,-20.41,57.7,68.0,75.0,60.0,9.17,1600225453.0
opuwo,na,-18.06,13.84,50.43,0.0,45.0,1.99,1600225454.0
praia da vitoria,pt,38.73,-27.07,66.2,40.0,59.0,18.32,1600225454.0
hermanus,za,-34.42,19.23,41.0,0.0,95.0,9.42,1600225454.0
praxedis guerrero,mx,31.37,-106.02,78.8,20.0,39.0,6.06,1600225454.0
severo-kurilsk,ru,50.68,156.12,56.95,64.0,57.0,11.81,1600225454.0
huai thalaeng,th,15.0,102.65,82.4,20.0,88.0,6.93,1600225455.0
ribeira grande,pt,38.52,-28.7,65.68,83.0,61.0,13.78,1600225455.0
saint-philippe,re,-21.36,55.77,66.2,90.0,55.0,9.17,1600225455.0
lompoc,us,34.64,-120.46,62.6,1.0,82.0,5.82,1600225208.0
avera,pf,33.19,-82.53,71.6,1.0,78.0,10.29,1600225455.0
ancud,cl,-41.87,-73.82,41.0,5.0,86.0,5.01,1600225456.0
fairbanks,us,64.84,-147.72,60.8,20.0,44.0,3.36,1600225456.0
namatanai,pg,-3.67,152.43,83.01,71.0,76.0,10.94,1600225456.0
luau,ao,-10.71,22.22,67.73,95.0,73.0,1.28,1600225456.0
maun,bw,-19.98,23.42,64.4,25.0,31.0,2.24,1600225456.0
alekseyevsk,ru,57.84,108.35,55.83,3.0,59.0,4.85,1600225456.0
qaqortoq,gl,60.72,-46.03,44.6,100.0,75.0,1.12,1600225457.0
marawi,sd,8.0,124.29,72.54,100.0,88.0,6.35,1600225457.0
limon,cr,10.0,-83.03,81.75,100.0,79.0,3.04,1600225457.0
arraial do cabo,br,-22.97,-42.03,70.5,78.0,90.0,12.91,1600225457.0
barrow,us,71.29,-156.79,35.6,90.0,87.0,25.28,1600225457.0
ostrovnoy,ru,68.05,39.51,42.13,99.0,78.0,10.4,1600225458.0
pevek,ru,69.7,170.31,43.29,97.0,77.0,5.66,1600225458.0
turukhansk,ru,65.82,87.98,58.55,24.0,63.0,13.29,1600225458.0
namibe,ao,-15.2,12.15,59.25,0.0,82.0,4.9,1600225458.0
belaya gora,ru,68.53,146.42,44.47,100.0,86.0,9.24,1600225458.0
paamiut,gl,61.99,-49.67,45.75,100.0,72.0,26.64,1600225459.0
alofi,nu,-19.06,-169.92,78.8,75.0,65.0,19.46,1600225267.0
teluk nibung,id,3.0,99.82,87.06,100.0,65.0,1.5,1600225459.0
naze,jp,28.37,129.48,87.8,75.0,79.0,10.29,1600225459.0
jamestown,sh,42.1,-79.24,54.0,1.0,76.0,8.05,1600225371.0
lucapa,ao,-8.42,20.74,68.25,32.0,78.0,2.21,1600225459.0
wattegama,lk,6.8,81.48,78.8,75.0,100.0,9.17,1600225460.0
hithadhoo,mv,-0.6,73.08,81.68,100.0,71.0,8.57,1600225289.0
byron bay,au,-28.65,153.62,69.01,90.0,77.0,1.12,1600225460.0
cape town,za,-33.93,18.42,52.0,0.0,93.0,9.17,1600225283.0
kavaratti,in,10.57,72.64,81.68,67.0,80.0,17.76,1600225460.0
belmonte,br,-15.86,-38.88,75.2,40.0,78.0,8.05,1600225460.0
clyde river,ca,70.47,-68.59,33.8,75.0,93.0,11.41,1600225390.0
port hedland,au,-20.32,118.57,96.8,4.0,30.0,10.29,1600225461.0
san jose,bo,37.34,-121.89,69.8,90.0,64.0,11.41,1600225413.0
norman wells,ca,65.28,-126.83,48.2,40.0,66.0,3.36,1600225461.0
wadi maliz,tn,36.47,8.55,64.4,20.0,93.0,4.7,1600225461.0
oranjemund,na,-28.55,16.43,51.21,0.0,89.0,2.44,1600225471.0
rio gallegos,ar,-51.62,-69.22,32.0,0.0,82.0,11.41,1600225472.0
lima,pe,-12.04,-77.03,60.8,75.0,82.0,9.17,1600225286.0
tiksi,ru,71.69,128.87,44.85,33.0,71.0,2.33,1600225472.0
ennis,us,52.84,-8.99,62.6,75.0,93.0,4.7,1600225472.0
tura,ru,25.52,90.22,74.53,100.0,98.0,3.85,1600225472.0
tautira,pf,-17.73,-149.15,82.4,40.0,69.0,11.41,1600225472.0
chuy,uy,-33.7,-53.46,52.05,100.0,87.0,4.59,1600225473.0
gombong,id,-7.61,109.51,84.25,60.0,54.0,7.87,1600225473.0
lazaro cardenas,mx,17.96,-102.2,79.65,100.0,83.0,3.38,1600225473.0
khatanga,ru,71.97,102.5,53.53,100.0,72.0,6.53,1600225473.0
east london,za,-33.02,27.91,61.88,99.0,84.0,10.2,1600225440.0
pipri,in,19.8,75.53,78.01,100.0,81.0,7.78,1600225473.0
margate,za,51.38,1.39,66.0,94.0,97.0,4.0,1600225473.0
arman,ru,59.7,150.17,56.93,82.0,48.0,2.48,1600225474.0
hasaki,jp,35.73,140.83,84.0,75.0,74.0,9.17,1600225474.0
jumla,np,29.27,82.18,68.36,31.0,54.0,2.35,1600225474.0
ereymentau,kz,51.62,73.1,53.8,0.0,49.0,25.37,1600225474.0
ahipara,nz,-35.17,173.17,61.0,1.0,70.0,10.6,1600225474.0
chara,ru,56.91,118.26,46.29,94.0,72.0,5.79,1600225475.0
san antonio,cl,29.42,-98.49,84.2,1.0,58.0,4.7,1600225207.0
aguimes,es,27.91,-15.45,75.2,20.0,73.0,23.04,1600225475.0
paramonga,pe,-10.67,-77.83,60.21,67.0,84.0,7.2,1600225475.0
yakeshi,cn,49.28,120.73,49.33,100.0,89.0,21.56,1600225475.0
kiama,au,-34.68,150.87,79.0,4.0,75.0,15.01,1600225475.0
udala,in,43.08,-2.51,62.01,100.0,95.0,2.66,1600225476.0
concepcion,bo,-36.83,-73.05,53.6,98.0,93.0,4.7,1600225345.0
lebu,cl,-37.62,-73.65,49.66,87.0,95.0,2.35,1600225477.0
bredasdorp,za,-34.53,20.04,48.2,0.0,81.0,5.82,1600225477.0
upernavik,gl,72.79,-56.15,26.71,0.0,86.0,10.83,1600225478.0
kapit,my,2.02,112.93,80.98,100.0,74.0,2.33,1600225478.0
banikoara,bj,11.3,2.44,70.77,100.0,95.0,4.72,1600225478.0
visnes,no,59.36,5.22,55.4,88.0,87.0,24.16,1600225478.0
kindersley,ca,51.47,-109.17,50.0,75.0,66.0,11.41,1600225202.0
saskylakh,ru,71.92,114.08,53.01,100.0,65.0,5.64,1600225479.0
evensk,ru,61.95,159.23,51.03,65.0,56.0,7.43,1600225480.0
maragogi,br,-9.01,-35.22,74.03,20.0,87.0,11.74,1600225480.0
gushikawa,jp,26.35,127.87,87.8,75.0,84.0,13.87,1600225480.0
castro,cl,-24.79,-50.01,53.64,71.0,92.0,5.59,1600225481.0
torrelavega,es,43.35,-4.05,66.99,70.0,97.0,1.01,1600225481.0
nome,us,64.5,-165.41,48.2,90.0,93.0,20.8,1600225385.0
montana,bg,43.41,23.23,62.01,27.0,83.0,0.56,1600225481.0
jawhar,so,2.78,45.5,75.99,80.0,79.0,10.04,1600225481.0
ahuimanu,us,21.44,-157.84,87.8,20.0,45.0,11.41,1600225482.0
talnakh,ru,69.49,88.4,57.2,87.0,62.0,15.66,1600225482.0
taksimo,ru,56.34,114.88,54.46,98.0,68.0,2.15,1600225429.0
hervey bay,au,-25.3,152.85,77.0,3.0,53.0,5.01,1600225492.0
chokurdakh,ru,70.63,147.92,41.88,98.0,65.0,7.49,1600225492.0
ponta do sol,cv,32.67,-17.1,73.4,40.0,69.0,2.24,1600225503.0
puerto escondido,mx,15.85,-97.07,80.31,100.0,78.0,2.98,1600225503.0
tuatapere,nz,-46.13,167.68,48.99,100.0,90.0,21.0,1600225503.0
georgetown,sh,5.41,100.34,86.0,20.0,78.0,2.95,1600225275.0
hilo,us,19.73,-155.09,82.4,20.0,58.0,9.17,1600225513.0
maiduguri,ng,11.85,13.16,75.74,69.0,81.0,6.76,1600225513.0
bondo,cd,3.81,23.69,68.23,100.0,98.0,2.46,1600225514.0
mamboma,sl,8.08,-11.68,71.33,100.0,99.0,1.03,1600225514.0
araouane,ml,18.9,-3.53,97.92,0.0,16.0,7.38,1600225514.0
kloulklubed,pw,7.04,134.26,82.4,75.0,83.0,6.93,1600225514.0
guerrero negro,mx,27.98,-114.06,77.41,0.0,58.0,15.68,1600225514.0
vila franca do campo,pt,37.72,-25.43,64.4,20.0,63.0,9.17,1600225525.0
vanimo,pg,-2.67,141.3,86.38,38.0,62.0,8.41,1600225525.0
constitucion,mx,-35.33,-72.42,51.3,100.0,87.0,3.71,1600225525.0
honningsvag,no,70.98,25.97,45.86,100.0,82.0,6.55,1600225386.0
eureka,us,40.8,-124.16,68.0,90.0,88.0,4.7,1600225402.0
mokolo,cm,10.74,13.8,68.54,87.0,95.0,2.8,1600225526.0
ilulissat,gl,69.22,-51.1,42.8,100.0,60.0,5.82,1600225526.0
victoria,sc,22.29,114.16,91.0,50.0,91.0,8.99,1600225310.0
jalu,ly,29.03,21.55,82.06,0.0,32.0,9.28,1600225526.0
avarua,ck,-21.21,-159.78,77.0,58.0,69.0,13.87,1600225332.0
falam,mm,22.92,93.68,69.62,90.0,93.0,2.19,1600225526.0
ballina,ie,-28.87,153.57,71.6,90.0,77.0,1.12,1600225526.0
palapye,bw,-22.55,27.13,64.2,0.0,54.0,11.65,1600225527.0
walvis bay,na,-22.96,14.51,48.0,0.0,93.0,5.82,1600225527.0
prince rupert,ca,54.32,-130.32,62.6,1.0,63.0,2.24,1600225527.0
pochutla,mx,15.74,-96.47,76.51,100.0,88.0,2.06,1600225527.0
sinnamary,gf,5.38,-52.95,76.87,93.0,87.0,3.56,1600225527.0
campo largo,br,-25.46,-49.53,55.0,74.0,99.0,4.97,1600225528.0
roald,no,62.58,6.13,46.4,100.0,87.0,20.8,1600225528.0
quatre cocos,mu,-20.21,57.76,70.0,75.0,60.0,9.17,1600225528.0
longyearbyen,sj,78.22,15.64,31.23,99.0,93.0,3.98,1600225316.0
yendi,gh,9.44,-0.01,73.38,100.0,96.0,6.02,1600225528.0
petropavlovsk-kamchatskiy,ru,53.05,158.65,60.8,100.0,59.0,11.18,1600225435.0
kruisfontein,za,-34.0,24.73,50.0,0.0,90.0,1.01,1600225529.0
jibuti,dj,11.5,42.5,86.54,0.0,43.0,9.42,1600225331.0
aswan,eg,24.09,32.91,82.08,0.0,28.0,11.12,1600225529.0
mtwara,tz,-10.27,40.18,64.4,20.0,88.0,2.28,1600225529.0
sisimiut,gl,66.94,-53.67,38.79,100.0,91.0,8.66,1600225524.0
srednekolymsk,ru,67.45,153.68,42.13,100.0,86.0,7.52,1600225529.0
vestmannaeyjar,is,63.44,-20.27,47.91,100.0,71.0,12.48,1600225530.0
gander,ca,48.97,-54.59,44.6,20.0,70.0,8.05,1600225530.0
orcopampa,pe,-15.27,-72.34,43.02,99.0,65.0,4.43,1600225530.0
grand-bourg,gp,15.88,-61.31,80.6,20.0,83.0,3.36,1600225530.0
jackson,us,42.42,-122.83,75.2,90.0,29.0,6.93,1600225530.0
basavana bagevadi,in,16.58,75.97,74.1,87.0,89.0,12.73,1600225531.0
korla,cn,41.76,86.15,70.75,0.0,23.0,11.79,1600225358.0
krasnopavlivka,ua,49.14,36.33,55.65,0.0,93.0,5.55,1600225531.0
saint anthony,ca,45.02,-93.22,73.4,1.0,56.0,4.7,1600225541.0
magaria,ne,13.0,8.91,77.02,27.0,74.0,4.56,1600225541.0
batagay-alyta,ru,67.8,130.41,46.94,68.0,60.0,4.88,1600225541.0
norwich,ca,52.63,1.3,62.01,100.0,87.0,1.12,1600225484.0
cabedelo,br,-6.98,-34.83,73.4,20.0,94.0,5.82,1600225542.0
karratha,au,-20.74,116.85,94.66,12.0,17.0,5.14,1600225506.0
mount gambier,au,-37.83,140.77,64.4,100.0,63.0,8.05,1600225542.0
san alberto,co,7.76,-73.39,77.09,100.0,78.0,4.76,1600225542.0
te anau,nz,-45.42,167.72,46.76,99.0,85.0,7.07,1600225261.0
sao joao da barra,br,-21.64,-41.05,72.82,34.0,85.0,6.87,1600225369.0
saldanha,za,-33.01,17.94,42.8,1.0,81.0,1.12,1600225542.0
carroll,us,39.55,-77.02,55.4,1.0,76.0,3.44,1600225543.0
southbridge,nz,42.08,-72.03,48.99,19.0,94.0,5.26,1600225543.0
atar,mr,20.52,-13.05,92.35,1.0,32.0,10.02,1600225543.0
voitsberg,at,47.03,15.15,66.0,0.0,100.0,2.24,1600225543.0
hambantota,lk,6.12,81.12,78.8,75.0,100.0,9.17,1600225543.0
pathein,mm,16.78,94.73,85.8,96.0,73.0,3.29,1600225399.0
chiang khong,th,20.26,100.4,82.4,20.0,83.0,2.24,1600225544.0
pangnirtung,ca,66.15,-65.71,34.68,90.0,77.0,4.56,1600225544.0
banda aceh,id,5.56,95.32,85.75,76.0,60.0,10.16,1600225544.0
broken hill,au,-31.95,141.43,80.6,8.0,22.0,12.75,1600225544.0
belmopan,bz,17.25,-88.77,79.0,100.0,79.0,2.77,1600225322.0
warri,ng,5.52,5.75,74.55,93.0,91.0,5.97,1600225544.0
maldonado,uy,-34.67,-54.92,53.6,100.0,81.0,1.01,1600225545.0
manokwari,id,-0.87,134.08,84.02,96.0,68.0,5.14,1600225555.0
tera,ne,14.01,0.75,84.74,2.0,59.0,12.28,1600225555.0
guozhen,cn,34.37,107.36,72.45,100.0,44.0,0.51,1600225555.0
kutum,sd,14.2,24.67,72.91,38.0,72.0,8.63,1600225556.0
bintulu,my,3.17,113.03,82.4,40.0,83.0,3.36,1600225556.0
berlevag,no,70.86,29.09,45.54,98.0,80.0,9.95,1600225556.0
arcata,us,40.87,-124.08,68.0,90.0,88.0,4.7,1600225556.0
loukhi,ru,66.08,33.04,39.49,96.0,94.0,3.18,1600225556.0
ekhabi,ru,53.51,142.97,66.96,63.0,71.0,6.6,1600225556.0
nikolskoye,ru,59.7,30.79,48.99,94.0,87.0,2.24,1600225557.0
iqaluit,ca,63.75,-68.51,33.8,75.0,88.0,8.05,1600225270.0
beloha,mg,-25.17,45.05,63.5,19.0,97.0,4.25,1600225557.0
malaya serdoba,ru,52.47,44.95,45.16,0.0,85.0,12.75,1600225557.0
kholm,af,59.27,32.85,43.02,98.0,92.0,2.62,1600225557.0
petauke,zm,-14.24,31.33,66.88,23.0,46.0,4.74,1600225557.0
airai,pw,-8.93,125.41,77.68,59.0,36.0,4.65,1600225558.0
faya,td,18.39,42.45,66.2,59.0,59.0,3.94,1600225558.0
bethel,us,41.37,-73.41,51.01,1.0,87.0,3.42,1600225558.0
auki,sb,-8.77,160.7,86.02,35.0,67.0,4.43,1600225558.0
kivertsi,ua,50.83,25.46,58.17,28.0,80.0,5.46,1600225558.0
luderitz,na,-26.65,15.16,51.64,0.0,70.0,11.52,1600225559.0
rio grande,br,-32.03,-52.1,57.18,100.0,90.0,8.9,1600225464.0
nizhniy kuranakh,ru,58.84,125.49,54.03,100.0,61.0,4.5,1600225559.0
goderich,sl,43.75,-81.72,69.01,19.0,66.0,1.01,1600225559.0
sabang,id,5.89,95.32,83.21,82.0,70.0,14.41,1600225559.0
gambissara,gm,13.24,-14.31,74.89,81.0,95.0,9.08,1600225560.0
kichmengskiy gorodok,ru,59.98,45.79,45.55,100.0,86.0,11.23,1600225560.0
dingle,ie,11.0,122.67,75.42,100.0,95.0,3.83,1600225560.0
gambiran,id,-6.8,111.5,87.1,100.0,45.0,6.96,1600225570.0
lata,sb,40.16,-8.33,62.01,6.0,84.0,1.52,1600225570.0
burnie,au,-41.07,145.92,55.99,100.0,68.0,11.01,1600225571.0
cidreira,br,-30.18,-50.21,59.49,100.0,88.0,17.74,1600225449.0
bijie,cn,27.31,105.29,61.83,100.0,94.0,2.64,1600225571.0
aykhal,ru,66.0,111.5,53.6,0.0,58.0,2.24,1600225571.0
imbituba,br,-28.24,-48.67,62.6,75.0,77.0,6.93,1600225571.0
sal rei,cv,16.18,-22.92,78.8,20.0,88.0,4.7,1600225571.0
kharan,pk,28.58,65.42,80.55,33.0,17.0,8.43,1600225572.0
vangaindrano,mg,-23.35,47.6,66.27,5.0,90.0,7.0,1600225572.0
pangai,to,-19.8,-174.35,77.0,75.0,69.0,19.46,1600225572.0
san patricio,mx,19.22,-104.7,80.33,60.0,86.0,6.89,1600225572.0
muravlenko,ru,63.79,74.52,50.86,36.0,77.0,15.26,1600225572.0
hofn,is,64.25,-15.21,48.15,97.0,64.0,3.91,1600225572.0
tortoli,it,39.93,9.66,72.3,7.0,54.0,4.45,1600225573.0
rokiskis,lt,55.97,25.58,56.39,100.0,94.0,6.87,1600225583.0
preston,us,53.77,-2.72,57.0,13.0,87.0,1.01,1600225583.0
vaitape,pf,-16.52,-151.75,78.78,0.0,77.0,15.5,1600225583.0
moron,mn,-34.65,-58.62,57.0,67.0,75.0,5.55,1600225388.0
rocha,uy,-34.48,-54.33,48.69,99.0,84.0,3.69,1600225466.0
kousseri,cm,12.08,15.03,77.0,20.0,94.0,1.12,1600225584.0
usinsk,ru,65.99,57.53,43.34,61.0,94.0,5.95,1600225594.0
belyy yar,ru,53.6,91.39,48.2,83.0,81.0,2.24,1600225594.0
fougeres,fr,48.35,-1.2,68.0,40.0,68.0,2.24,1600225594.0
pacific grove,us,36.62,-121.92,63.0,24.0,91.0,1.77,1600225386.0
lorengau,pg,-2.02,147.27,86.31,100.0,69.0,13.47,1600225595.0
iskateley,ru,67.68,53.15,44.91,95.0,85.0,11.79,1600225595.0
biak,id,-0.91,122.88,82.42,96.0,66.0,9.66,1600225595.0
cockburn town,tc,21.46,-71.14,82.4,20.0,78.0,11.41,1600225595.0
cherskiy,ru,68.75,161.3,43.03,100.0,79.0,2.53,1600225595.0
roseau,dm,15.3,-61.39,82.99,7.0,79.0,9.19,1600225596.0
fare,pf,-16.7,-151.02,78.93,0.0,76.0,13.94,1600225596.0
port blair,in,11.67,92.75,82.6,100.0,77.0,14.97,1600225596.0
hay river,ca,60.82,-115.8,33.8,20.0,64.0,4.7,1600225393.0
trelew,ar,-43.25,-65.31,44.92,29.0,56.0,7.47,1600225597.0
krasnokamensk,ru,50.1,118.04,56.77,100.0,47.0,23.78,1600225597.0
grand gaube,mu,-20.01,57.66,70.0,57.0,58.0,5.99,1600225597.0
port macquarie,au,-31.43,152.92,75.0,0.0,63.0,5.99,1600225597.0
kulhudhuffushi,mv,6.62,73.07,81.75,90.0,78.0,11.61,1600225598.0
pucallpa,pe,-8.38,-74.55,71.22,95.0,94.0,1.81,1600225598.0
ipubi,br,-7.65,-40.15,69.98,2.0,73.0,8.3,1600225598.0
muros,es,42.78,-9.06,57.99,70.0,93.0,7.29,1600225598.0
reynosa,mx,26.08,-98.28,77.0,1.0,88.0,3.36,1600225598.0
ambanja,mg,-13.68,48.45,69.39,34.0,82.0,3.4,1600225599.0
bahar,ir,34.91,48.44,52.61,0.0,43.0,2.15,1600225599.0
funtua,ng,11.52,7.31,68.43,14.0,90.0,2.75,1600225599.0
seoul,kr,37.57,126.98,75.2,90.0,73.0,6.11,1600225599.0
prince albert,ca,53.2,-105.77,48.2,75.0,81.0,13.87,1600225599.0
klaksvik,fo,62.23,-6.59,41.0,0.0,100.0,1.12,1600225599.0
bambanglipuro,id,-7.95,110.28,82.51,71.0,60.0,11.68,1600225600.0
bismarck,us,46.81,-100.78,64.4,75.0,55.0,9.17,1600225504.0
camacha,pt,33.08,-16.33,73.4,20.0,78.0,5.82,1600225600.0
teahupoo,pf,-17.83,-149.27,82.4,40.0,69.0,11.41,1600225600.0
garden city,us,42.33,-83.33,63.0,75.0,77.0,4.7,1600225359.0
camabatela,ao,-8.19,15.38,63.14,97.0,93.0,4.52,1600225611.0
la asuncion,ve,11.03,-63.86,81.36,90.0,82.0,11.68,1600225611.0
muhos,fi,64.81,25.99,41.0,100.0,100.0,4.7,1600225611.0
meulaboh,id,4.14,96.13,84.13,20.0,69.0,3.8,1600225611.0
dalby,au,-27.18,151.27,77.0,42.0,33.0,7.14,1600225612.0
middle island,kn,40.88,-72.94,57.0,1.0,81.0,7.05,1600225453.0
pisco,pe,-13.7,-76.22,62.6,96.0,82.0,11.41,1600225632.0
shimoda,jp,34.67,138.95,77.0,75.0,88.0,10.29,1600225632.0
matadi,cd,-5.82,13.45,74.07,97.0,75.0,5.37,1600225633.0
aquiraz,br,-3.9,-38.39,78.8,20.0,78.0,16.11,1600225471.0
baruun-urt,mn,46.68,113.28,52.56,100.0,60.0,20.71,1600225633.0
makakilo city,us,21.35,-158.09,87.8,75.0,66.0,10.29,1600225633.0
maltahohe,na,-24.83,16.98,41.2,0.0,57.0,4.85,1600225633.0
taltal,cl,-25.4,-70.48,55.65,8.0,75.0,2.89,1600225633.0
lerwick,gb,60.15,-1.15,48.2,14.0,87.0,11.41,1600225634.0
shasta lake,us,40.68,-122.37,77.0,0.0,36.0,1.77,1600225427.0
la ronge,ca,55.1,-105.28,41.0,75.0,65.0,18.34,1600225644.0
coihaique,cl,-45.58,-72.07,32.0,20.0,95.0,3.74,1600225644.0
flinders,au,-34.58,150.86,78.01,7.0,62.0,3.0,1600225644.0
hami,cn,42.8,93.45,73.33,100.0,18.0,6.76,1600225645.0
mersing,my,2.43,103.84,77.0,20.0,88.0,4.7,1600225645.0
bonavista,ca,48.65,-53.11,51.4,94.0,62.0,14.14,1600225645.0
mantua,cu,45.17,10.78,68.0,3.0,82.0,3.36,1600225645.0
dondukovskaya,ru,44.88,40.36,59.45,0.0,58.0,3.42,1600225645.0
katsuura,jp,35.13,140.3,84.0,75.0,73.0,3.36,1600225646.0
marsabit,ke,2.33,37.99,59.9,18.0,100.0,16.64,1600225646.0
huarmey,pe,-10.07,-78.15,60.48,88.0,84.0,7.92,1600225646.0
nobres,br,-14.72,-56.33,78.12,0.0,28.0,0.58,1600225646.0
hovd,mn,48.01,91.64,56.3,67.0,36.0,2.17,1600225657.0
akdagmadeni,tr,39.66,35.88,48.61,0.0,81.0,4.07,1600225657.0
sao jose da coroa grande,br,-8.9,-35.15,74.43,14.0,86.0,11.86,1600225657.0
norilsk,ru,69.35,88.2,57.2,73.0,62.0,15.66,1600225497.0
nichinan,jp,31.6,131.37,73.4,75.0,94.0,5.82,1600225667.0
deputatskiy,ru,69.3,139.9,42.82,95.0,72.0,2.68,1600225668.0
svetlopolyansk,ru,59.42,52.36,43.07,100.0,96.0,10.69,1600225668.0
chapleau,ca,47.84,-83.4,54.86,42.0,90.0,9.8,1600225668.0
doka,sd,13.52,35.77,68.94,88.0,90.0,6.31,1600225668.0
